DATE,TOTAL_INCOME
1/1/1960,8418196636
1/1/1961,8853596462
1/1/1962,9490596208
1/1/1963,10530795792
1/1/1964,11580795373
1/1/1965,12653194944
1/1/1966,13777394495
1/1/1967,15371993858
1/1/1968,16608193364
1/1/1969,18657792545
1/1/1970,20554791787
1/1/1971,22755334262
1/1/1972,23813450000
1/1/1973,32337640741
1/1/1974,40139695465
1/1/1975,41368058389
1/1/1976,39648549968
1/1/1977,43590749964
1/1/1978,49654699960
1/1/1979,60699083237
1/1/1980,86086409447
1/1/1981,89562313049
1/1/1982,82776468403
1/1/1983,92847141207
1/1/1984,81876799466
1/1/1985,61888790441
1/1/1986,70409089890
1/1/1987,93418902770
1/1/1988,1.00805E+11
1/1/1989,1.04686E+11
1/1/1990,1.21781E+11
1/1/1991,1.31996E+11
1/1/1992,1.44011E+11
1/1/1993,1.44534E+11
1/1/1994,1.51091E+11
1/1/1995,1.6886E+11
1/1/1996,1.60125E+11
1/1/1997,1.65755E+11
1/1/1998,1.49819E+11
1/1/1999,1.48308E+11
1/1/2000,1.4858E+11
1/1/2001,1.31692E+11
1/1/2002,1.26299E+11
1/1/2003,1.92411E+11
1/1/2004,2.51495E+11
1/1/2005,2.83927E+11
1/1/2006,2.98725E+11
1/1/2007,3.23308E+11
1/1/2008,3.0719E+11
1/1/2009,3.23126E+11
1/1/2010,4.09234E+11
1/1/2011,4.47482E+11
1/1/2012,4.23517E+11
1/1/2013,3.91195E+11
1/1/2014,3.71745E+11
1/1/2015,3.38767E+11
1/1/2016,3.15294E+11
1/1/2017,3.70873E+11
1/1/2018,3.92871E+11
1/1/2019,3.78848E+11
1/1/2020,3.31988E+11
1/1/2021,4.1099E+11
